"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"405",11,"Barion Brown",NO,"WR143","8","-","-","3 out of 5 stars","-","-","-"
"406",11,"Zane Gonzalez",FA,"K23","-","-","-","-","-","+3.0","75% (6/8)"
"407",11,"Austin Hooper",ATL,"TE59","11","-","-","3 out of 5 stars","-","+0.2","46% (7/15)"
"408",11,"Cade Klubnik",NYJ,"QB45","13","-","-","4 out of 5 stars","-","-","-"
"409",11,"Elijah Higgins",ARI,"TE60","14","-","-","2 out of 5 stars","-","+0.1","43% (7/16)"
"410",11,"Ashton Dulin",IND,"WR144","13","-","-","4 out of 5 stars","-","-","-"
"411",11,"Jeremy McNichols",WAS,"RB113","7","-","-","4 out of 5 stars","-","-1.0","37% (6/16)"
"412",11,"Spencer Shrader",IND,"K24","13","-","-","4 out of 5 stars","-99","-","-"
"413",11,"Matt Hibner",BAL,"TE61","13","-","-","4 out of 5 stars","-","-","-"
"414",11,"Cincinnati Bengals",CIN,"DST27","6","-","-","4 out of 5 stars","-","-1.5","25% (4/16)"
"415",11,"Jonnu Smith",GB,"TE62","11","-","-","2 out of 5 stars","-","-1.0","25% (4/16)"
"416",11,"Luke Musgrave",GB,"TE63","11","-","-","2 out of 5 stars","-","-1.1","25% (4/16)"
"417",11,"Jam Miller",FA,"RB114","-","-","-","-","-","-","-"
"418",12,"Dylan Laube",LV,"RB115","13","-","-","2 out of 5 stars","-","-","-"
"419",12,"Nick Westbrook-Ikhine",FA,"WR145","-","-","-","-","-","-2.9","0% (0/13)"
"420",12,"Miami Dolphins",MIA,"DST28","6","-","-","3 out of 5 stars","-","+0.1","56% (9/16)"
"421",12,"Devontez Walker",BAL,"WR146","13","-","-","4 out of 5 stars","-","-","-"
"422",12,"Phil Mafah",FA,"RB116","-","-","-","-","-","-","-"
"423",12,"Blake Grupe",NYJ,"K25","13","-","-","2 out of 5 stars","-","+1.0","40% (6/15)"
"424",12,"Joe Milton III",DAL,"QB46","14","-","-","2 out of 5 stars","-","-0.1","7% (1/14)"
"425",12,"Corey Kiner",NE,"RB117","11","-","-","2 out of 5 stars","-","-0.9","50% (2/4)"
"426",12,"Tai Felton",MIN,"WR147","6","-","-","5 out of 5 stars","-","-","-"
"427",12,"Hunter Luepke",DAL,"RB118","14","-","-","4 out of 5 stars","-","-","-"
"428",12,"Ronnie Rivers",LAR,"RB119","11","-","-","5 out of 5 stars","-","-","-"
"429",12,"Dameon Pierce",PHI,"RB120","10","-","-","4 out of 5 stars","-","-0.9","25% (1/4)"
"430",12,"Jackson Hawes",BUF,"TE64","7","-","-","3 out of 5 stars","-","+1.2","56% (9/16)"
"431",12,"Adam Trautman",DEN,"TE65","10","-","-","4 out of 5 stars","-","-0.4","37% (6/16)"
"432",12,"Dyami Brown",WAS,"WR148","7","-","-","2 out of 5 stars","-","-1.5","27% (3/11)"
"433",12,"Tanner Koziol",JAC,"TE66","7","-","-","3 out of 5 stars","-","-","-"
"434",12,"Joey Slye",TEN,"K26","9","-","-","4 out of 5 stars","-","+2.7","66% (10/15)"
"435",12,"Brandon McManus",FA,"K27","-","-","-","-","-","+0.8","61% (8/13)"
"436",12,"Washington Commanders",WAS,"DST29","7","-","-","2 out of 5 stars","-","-1.7","37% (6/16)"
"437",12,"Nick Folk",ATL,"K28","11","-","-","0 out of 5 stars","-194","+1.2","50% (8/16)"
"438",12,"Las Vegas Raiders",LV,"DST30","13","-","-","4 out of 5 stars","-","-2.0","18% (3/16)"
"439",12,"Khalil Herbert",FA,"RB121","-","-","-","-","-","-","-"
"440",12,"Antonio Williams",FA,"RB122","-","-","-","-","-","-","-"
"441",12,"Deion Burks",IND,"WR149","13","-","-","4 out of 5 stars","-","-","-"
"442",12,"Reggie Gilliam",NE,"RB123","11","-","-","2 out of 5 stars","-","-","-"
"443",12,"Zach Ertz",FA,"TE67","-","-","-","-","-","-","-"
"444",12,"Damien Martinez",FA,"RB124","-","-","-","-","-","-","-"
"445",12,"AJ Dillon",CAR,"RB125","5","-","-","1 out of 5 stars","-","-0.3","28% (2/7)"
"446",12,"Tommy Myers",FA,"TE68","-","-","-","-","-","-","-"
"447",12,"Elijah Moore",PHI,"WR150","10","-","-","4 out of 5 stars","-","-","-"
"448",12,"Dohnte Meyers",CIN,"WR151","6","-","-","4 out of 5 stars","-","-","-"
"449",12,"Isaiah Williams",NYJ,"WR152","13","-","-","4 out of 5 stars","-","-","-"
"450",12,"John Bates",WAS,"TE69","7","-","-","1 out of 5 stars","-","-0.8","28% (4/14)"
"451",12,"Taylen Green",CLE,"QB47","11","-","-","4 out of 5 stars","-","-","-"
"452",12,"Josh Oliver",MIN,"TE70","6","-","-","4 out of 5 stars","-","+0.6","28% (4/14)"
"453",12,"Marquez Valdes-Scantling",FA,"WR153","-","-","-","-","-","-1.4","22% (2/9)"
"454",12,"Tanner Hudson",CIN,"TE71","6","-","-","3 out of 5 stars","-","-","-"
"455",12,"Jelani Woods",NYJ,"TE72","13","-","-","4 out of 5 stars","-","-","-"
"456",12,"Robert Henry Jr.",WAS,"RB126","7","-","-","4 out of 5 stars","-","-","-"
"457",12,"Chad Ryland",ARI,"K29","14","-","-","2 out of 5 stars","-","+0.8","53% (8/15)"
"458",12,"Ryan Fitzgerald",CAR,"K30","5","-","-","0 out of 5 stars","-","+0.1","43% (7/16)"
"459",12,"Ben Sauls",FA,"K31","-","-","-","-","-","+1.3","50% (1/2)"
"460",12,"Tyler Goodson",ATL,"RB127","11","-","-","2 out of 5 stars","-","-","-"
"461",12,"Isaiah Williams",FA,"WR154","-","-","-","-","-","-","-"
"462",12,"Riley Leonard",IND,"QB48","13","-","-","4 out of 5 stars","-","-0.4","0% (0/3)"
"463",12,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","-","-2.6","25% (4/16)"
